mode,k_per_class,n_train,accuracy,f1_macro,delta_f1_vs_full
k-shot,1.0,4,0.2655935613682093,0.24050281847776855,-0.35215803241772625
k-shot,5.0,20,0.3470824949698189,0.3477497612574667,-0.2449110896380281
k-shot,10.0,40,0.33601609657947684,0.3173008016052581,-0.2753600492902367
k-shot,20.0,80,0.3631790744466801,0.3563490668455667,-0.2363117840499281
k-shot,50.0,200,0.39436619718309857,0.38813004304669424,-0.20453080784880057
k-shot,100.0,400,0.46277665995975853,0.4505507788878845,-0.14211007200761033
full-data,,72051,0.6156941649899397,0.5926608508954948,0.0
